id,amount,activities_time,source
1223,90,2019-11-13,Cash Sale
1303,30,2019-11-13,Cash Sale
1317,390,2019-11-13,Cash Sale
1303,60,2019-11-13,Cash Sale
1244,2640,2019-11-13,Cash Sale
1303,60,2019-11-13,Cash Sale
1095,240,2019-11-12,Cash Sale
1303,60,2019-11-13,Cash Sale
1092,150,2019-11-12,Cash Sale
1729,25560,2019-11-19,Cash Sale
1323,1413,2019-11-13,Cash Sale
1199,3000,2019-11-12,Cash Sale
1238,360,2019-11-13,Cash Sale
1215,1200,2019-11-12,Cash Sale
1051,6,2019-11-09,Cash Sale
1247,99,2019-11-13,Cash Sale
1272,1500,2019-11-13,Cash Sale
1055,4968,2019-11-12,Cash Sale
1262,300,2019-11-13,Cash Sale
1051,9,2019-11-09,Cash Sale
1051,12,2019-11-09,Cash Sale
1051,15,2019-11-09,Cash Sale
1051,18,2019-11-09,Cash Sale
1208,1761,2019-11-12,Cash Sale
1051,30,2019-11-09,Cash Sale
1346,105,2019-11-14,Cash Sale
1054,3420,2019-11-11,Cash Sale
1303,840,2019-11-13,Cash Sale
1121,1365,2019-11-12,Cash Sale
1773,29400,2019-11-20,Cash Sale
1202,876,2019-11-13,Cash Sale
1202,11820,2019-11-13,Cash Sale
1051,24,2019-11-09,Cash Sale
1024,60,2019-11-08,Cash Sale
1024,90,2019-11-08,Cash Sale
1024,120,2019-11-08,Cash Sale
1024,150,2019-11-08,Cash Sale
1024,180,2019-11-08,Cash Sale
1051,27,2019-11-09,Cash Sale
1400,30600,2019-11-14,Cash Sale
1051,12,2019-11-09,Cash Sale
1140,165,2019-11-12,Cash Sale
1313,780,2019-11-13,Cash Sale
1051,21,2019-11-09,Cash Sale
1051,24,2019-11-09,Cash Sale
1437,3450,2019-11-15,Cash Sale
1051,255,2019-11-09,Cash Sale
1074,30000,2019-11-13,Cash Sale
1204,46860,2019-11-12,Cash Sale
1051,3,2019-11-09,Cash Sale
1108,1800,2019-11-12,Cash Sale
1051,18,2019-11-09,Cash Sale
1413,600,2019-11-16,Cash Sale
1073,30,2019-11-13,Cash Sale
1268,150,2019-11-13,Cash Sale
1356,300,2019-11-13,Cash Sale
1698,1326,2019-11-19,Cash Sale
1493,2400,2019-11-17,Cash Sale
1423,240,2019-11-15,Cash Sale
1156,150,2019-11-12,Cash Sale
1423,600,2019-11-15,Cash Sale
1302,240,2019-11-13,Cash Sale
1615,1500,2019-11-18,Cash Sale
1201,15300,2019-11-13,Cash Sale
1952,255,2019-11-22,Cash Sale
1201,27405,2019-11-13,Cash Sale
1201,8988,2019-11-13,Cash Sale
1201,18255,2019-11-13,Cash Sale
1482,150,2019-11-16,Cash Sale
1307,1650,2019-11-14,Cash Sale
1268,30,2019-11-16,Cash Sale
1289,360,2019-11-15,Cash Sale
1289,2790,2019-11-15,Cash Sale
1289,15,2019-11-15,Cash Sale
1485,1500,2019-11-16,Cash Sale
1073,30,2019-11-27,Cash Sale
1327,300,2019-11-13,Cash Sale
1073,30,2019-11-27,Cash Sale
1310,450,2019-11-13,Cash Sale
1289,14445,2019-11-13,Cash Sale
1073,30,2019-11-27,Cash Sale
2046,15000,2019-11-28,Cash Sale
1289,16560,2019-11-13,Cash Sale
1289,2790,2019-11-13,Cash Sale
1051,3,2019-11-09,Cash Sale
1051,6,2019-11-09,Cash Sale
1051,24,2019-11-09,Cash Sale
1361,1500,2019-11-13,Cash Sale
1361,3000,2019-11-13,Cash Sale
1361,1500,2019-11-14,Cash Sale
1361,2850,2019-11-14,Cash Sale
1361,750,2019-11-14,Cash Sale
1361,3300,2019-11-14,Cash Sale
1277,87,2019-11-13,Cash Sale
1051,24,2019-11-09,Cash Sale
1420,6000,2019-11-15,Cash Sale
1051,3,2019-11-09,Cash Sale
1202,309,2019-11-13,Cash Sale
1202,687,2019-11-13,Cash Sale
1051,6,2019-11-09,Cash Sale
1051,9,2019-11-09,Cash Sale
1051,9,2019-11-09,Cash Sale
1051,21,2019-11-09,Cash Sale
1364,60,2019-11-13,Cash Sale
1464,16500,2019-11-16,Cash Sale
1292,96,2019-11-13,Cash Sale
1490,1500,2019-11-16,Cash Sale
1215,1200,2019-11-16,Cash Sale
1457,828,2019-11-15,Cash Sale
1784,180,2019-11-20,Cash Sale
1115,12240,2019-11-19,Cash Sale
1364,150,2019-11-13,Cash Sale
1314,900,2019-11-13,Cash Sale
1364,159,2019-11-16,Cash Sale
1586,1500,2019-11-18,Cash Sale
1185,432,2019-11-16,Cash Sale
2190,120,2019-12-05,Cash Sale
2221,3450,2019-12-06,Cash Sale
1073,30,2019-11-17,Cash Sale
1508,2520,2019-11-17,Cash Sale
1508,1500,2019-11-17,Cash Sale
1073,642,2019-11-17,Cash Sale
1073,450,2019-11-17,Cash Sale
2003,750,2019-12-02,Cash Sale
1508,1128,2019-11-17,Cash Sale
1566,1500,2019-11-18,Cash Sale
1073,15,2019-11-17,Cash Sale
2105,120,2019-12-06,Cash Sale
1334,18360,2019-11-13,Cash Sale
1115,30000,2019-11-13,Cash Sale
1115,6000,2019-11-13,Cash Sale
1115,2100,2019-11-13,Cash Sale
1115,9000,2019-11-13,Cash Sale
1115,4500,2019-11-13,Cash Sale
1548,150,2019-11-18,Cash Sale
1351,30000,2019-11-13,Cash Sale
1358,87,2019-11-14,Cash Sale
1289,14505,2019-11-15,Cash Sale
1289,30,2019-11-15,Cash Sale
1289,12,2019-11-15,Cash Sale
1289,30,2019-11-15,Cash Sale
1289,60,2019-11-15,Cash Sale
1289,180,2019-11-15,Cash Sale
1289,60,2019-11-15,Cash Sale
1409,15,2019-11-14,Cash Sale
1519,60,2019-11-18,Cash Sale
1399,15000,2019-11-14,Cash Sale
1399,6000,2019-11-14,Cash Sale
1399,324,2019-11-14,Cash Sale
1399,750,2019-11-14,Cash Sale
1519,405,2019-11-18,Cash Sale
1528,1500,2019-11-18,Cash Sale
1519,1335,2019-11-18,Cash Sale
1388,30,2019-11-14,Cash Sale
1403,60,2019-11-14,Cash Sale
1390,1950,2019-11-15,Cash Sale
1402,3,2019-11-14,Cash Sale
1390,1500,2019-11-15,Cash Sale
1054,3000,2019-11-11,Cash Sale
1054,21,2019-11-15,Cash Sale
1519,12534,2019-11-18,Cash Sale
1504,300,2019-11-17,Cash Sale
1082,300,2019-11-12,Cash Sale
1421,1665,2019-08-29,Cash Sale
1073,15,2019-11-22,Cash Sale
1603,300,2019-11-18,Cash Sale
1390,5880,2019-11-20,Cash Sale
1421,1560,2019-09-28,Cash Sale
1421,477,2019-10-01,Cash Sale
1421,75,2019-10-15,Cash Sale
1421,1245,2019-10-17,Cash Sale
1394,6,2019-11-15,Cash Sale
1421,579,2019-10-22,Cash Sale
1358,4350,2019-11-13,Cash Sale
1421,237,2019-10-23,Cash Sale
1421,912,2019-10-30,Cash Sale
1327,60,2019-11-13,Cash Sale
1434,900,2019-11-15,Cash Sale
1427,62370,2019-11-15,Cash Sale
1394,15,2019-11-15,Cash Sale
1603,1266,2019-11-18,Cash Sale
1421,1191,2019-09-01,Cash Sale
1421,375,2019-09-07,Cash Sale
1073,1140,2019-11-27,Cash Sale
1421,375,2019-09-12,Cash Sale
1421,1281,2019-09-12,Cash Sale
1421,480,2019-09-12,Cash Sale
1491,2535,2019-11-18,Cash Sale
1377,2250,2019-11-14,Cash Sale
1073,330,2019-11-17,Cash Sale
1603,60,2019-11-18,Cash Sale
1603,900,2019-11-18,Cash Sale
1574,11193,2019-11-18,Cash Sale
1073,60,2019-11-17,Cash Sale
1310,30000,2019-11-14,Cash Sale
1273,300,2019-11-13,Cash Sale
1421,720,2019-09-12,Cash Sale
1421,750,2019-09-12,Cash Sale
1421,12000,2019-10-06,Cash Sale
1526,378,2019-11-18,Cash Sale
1073,1020,2019-11-21,Cash Sale
1073,15,2019-11-17,Cash Sale
1073,210,2019-11-17,Cash Sale
1073,660,2019-11-17,Cash Sale
1584,40710,2019-11-18,Cash Sale
1429,1500,2019-11-15,Cash Sale
1073,30,2019-11-17,Cash Sale
1595,3000,2019-11-18,Cash Sale
1478,1500,2019-11-18,Cash Sale
1569,21348,2019-11-18,Cash Sale
1073,30,2019-11-17,Cash Sale
1073,1650,2019-11-21,Cash Sale
1954,6000,2019-11-22,Cash Sale
1591,66,2019-11-18,Cash Sale
1918,936,2019-11-21,Cash Sale
1951,60,2019-11-22,Cash Sale
1073,510,2019-11-22,Cash Sale
1478,1500,2019-11-18,Cash Sale
1115,30000,2019-11-16,Cash Sale
1115,3060,2019-11-16,Cash Sale
1888,1500,2019-11-20,Cash Sale
1115,15300,2019-11-19,Cash Sale
1115,18360,2019-11-19,Cash Sale
1115,15300,2019-11-19,Cash Sale
1115,30600,2019-11-19,Cash Sale
1539,495,2019-11-18,Cash Sale
2239,2280,2019-12-06,Cash Sale
1236,300,2019-11-13,Cash Sale
1236,123,2019-11-13,Cash Sale
1073,30,2019-11-17,Cash Sale
1073,900,2019-11-17,Cash Sale
1073,15,2019-11-17,Cash Sale
1073,885,2019-11-17,Cash Sale
1073,30,2019-11-17,Cash Sale
1073,60,2019-11-17,Cash Sale
1073,210,2019-11-17,Cash Sale
1073,90,2019-11-17,Cash Sale
1073,555,2019-11-22,Cash Sale
1073,102,2019-11-22,Cash Sale
1315,1500,2019-11-13,Cash Sale
1073,990,2019-11-17,Cash Sale
1538,660,2019-11-18,Cash Sale
1538,1350,2019-11-18,Cash Sale
1073,30,2019-11-17,Cash Sale
1073,45,2019-11-17,Cash Sale
1073,30,2019-11-17,Cash Sale
1073,45,2019-11-17,Cash Sale
1073,30,2019-11-18,Cash Sale
1073,48,2019-11-18,Cash Sale
1073,450,2019-11-18,Cash Sale
1073,15,2019-11-18,Cash Sale
1073,510,2019-11-18,Cash Sale
1073,15,2019-11-18,Cash Sale
1073,30,2019-11-18,Cash Sale
1073,120,2019-11-18,Cash Sale
1073,15,2019-11-18,Cash Sale
1073,30,2019-11-18,Cash Sale
1073,120,2019-11-18,Cash Sale
1550,375,2019-11-18,Cash Sale
1073,204,2019-11-22,Cash Sale
1478,1500,2019-11-19,Cash Sale
1073,75,2019-11-22,Cash Sale
1571,876,2019-11-18,Cash Sale
1571,141,2019-11-18,Cash Sale
1831,30000,2019-11-20,Cash Sale
1571,330,2019-11-18,Cash Sale
1073,21,2019-11-22,Cash Sale
1073,45,2019-11-22,Cash Sale
1626,1500,2019-11-18,Cash Sale
1531,3000,2019-11-18,Cash Sale
2105,1500,2019-12-02,Cash Sale
1624,31200,2019-11-18,Cash Sale
1593,1494,2019-11-18,Cash Sale
1593,189,2019-11-18,Cash Sale
1682,600,2019-11-19,Cash Sale
1608,1500,2019-11-18,Cash Sale
1434,4866,2019-11-15,Cash Sale
1390,3060,2019-11-20,Cash Sale
1060,300,2019-11-13,Cash Sale
1623,1500,2019-11-18,Cash Sale
1073,75,2019-11-17,Cash Sale
1073,15,2019-11-17,Cash Sale
1073,75,2019-11-17,Cash Sale
1073,600,2019-11-17,Cash Sale
1073,30,2019-11-17,Cash Sale
1073,1440,2019-11-17,Cash Sale
1073,150,2019-11-17,Cash Sale
2094,90,2019-12-02,Cash Sale
1073,1200,2019-12-02,Cash Sale
2061,1500,2019-11-29,Cash Sale
1073,780,2019-12-02,Cash Sale
1368,15,2019-11-18,Cash Sale
1368,165,2019-11-18,Cash Sale
1510,7656,2019-11-18,Cash Sale
1625,1500,2019-11-18,Cash Sale
1073,60,2019-12-02,Cash Sale
2062,120,2019-11-29,Cash Sale
2062,300,2019-11-29,Cash Sale
1073,135,2019-11-25,Cash Sale
1073,750,2019-11-25,Cash Sale
1073,45,2019-11-25,Cash Sale
1073,300,2019-11-25,Cash Sale
1073,240,2019-11-25,Cash Sale
1073,18,2019-11-29,Cash Sale
1073,180,2019-11-29,Cash Sale
1073,90,2019-11-29,Cash Sale
1625,15000,2019-11-18,Cash Sale
1398,1800,2019-11-15,Cash Sale
1073,6,2019-11-25,Cash Sale
1581,1500,2019-11-18,Cash Sale
1686,21132,2019-11-19,Cash Sale
1694,1518,2019-11-19,Cash Sale
2021,1038,2019-11-27,Cash Sale
1284,0,2019-11-23,Cash Sale
1683,2160,2019-11-19,Cash Sale
1553,2577,2019-11-18,Cash Sale
1073,12,2019-11-19,Cash Sale
1649,6543,2019-11-19,Cash Sale
1073,36,2019-11-23,Cash Sale
1073,630,2019-11-23,Cash Sale
1073,30,2019-11-23,Cash Sale
1738,72,2019-11-20,Cash Sale
1073,30,2019-11-23,Cash Sale
1657,1500,2019-11-19,Cash Sale
1895,60,2019-11-22,Cash Sale
1685,30,2019-11-19,Cash Sale
1685,45,2019-11-19,Cash Sale
1685,60,2019-11-19,Cash Sale
2039,18000,2019-12-01,Cash Sale
1073,270,2019-11-22,Cash Sale
1633,3999,2019-11-19,Cash Sale
1492,60,2019-11-18,Cash Sale
1571,1110,2019-11-18,Cash Sale
1073,1470,2019-11-22,Cash Sale
1073,30,2019-11-22,Cash Sale
1073,12,2019-11-23,Cash Sale
1571,1110,2019-11-18,Cash Sale
1965,0,2019-11-23,Cash Sale
1571,1242,2019-11-18,Cash Sale
1571,330,2019-11-18,Cash Sale
1571,927,2019-11-18,Cash Sale
1571,105,2019-11-18,Cash Sale
1961,1950,2019-11-23,Cash Sale
1073,360,2019-11-23,Cash Sale
1902,1500,2019-11-20,Cash Sale
1073,930,2019-11-23,Cash Sale
1073,600,2019-11-23,Cash Sale
1684,6000,2019-11-19,Cash Sale
1073,252,2019-11-23,Cash Sale
1073,1200,2019-11-20,Cash Sale
1073,60,2019-11-23,Cash Sale
1571,600,2019-11-18,Cash Sale
1663,1500,2019-11-19,Cash Sale
1629,390,2019-11-18,Cash Sale
1571,330,2019-11-18,Cash Sale
1612,1500,2019-11-18,Cash Sale
1663,540,2019-11-19,Cash Sale
1663,240,2019-11-19,Cash Sale
1571,210,2019-11-18,Cash Sale
1571,2541,2019-11-18,Cash Sale
1571,795,2019-11-18,Cash Sale
1571,438,2019-11-18,Cash Sale
1571,603,2019-11-18,Cash Sale
1571,3000,2019-11-18,Cash Sale
1663,900,2019-11-19,Cash Sale
1663,75,2019-11-19,Cash Sale
1756,1095,2019-11-20,Cash Sale
1663,240,2019-11-19,Cash Sale
1664,1500,2019-11-19,Cash Sale
1664,1500,2019-11-19,Cash Sale
1073,420,2019-11-23,Cash Sale
1073,180,2019-11-23,Cash Sale
1073,60,2019-11-21,Cash Sale
1073,930,2019-11-23,Cash Sale
1073,60,2019-11-21,Cash Sale
1073,270,2019-11-21,Cash Sale
1073,750,2019-11-21,Cash Sale
1073,1560,2019-11-21,Cash Sale
1073,1470,2019-11-21,Cash Sale
1073,810,2019-11-21,Cash Sale
2105,1215,2019-12-02,Cash Sale
1663,2550,2019-11-19,Cash Sale
1073,330,2019-11-23,Cash Sale
1073,1800,2019-11-21,Cash Sale
2239,6000,2019-12-06,Cash Sale
1073,42,2019-11-25,Cash Sale
2030,3000,2019-11-27,Cash Sale
1073,480,2019-11-25,Cash Sale
1115,62550,2019-11-15,Cash Sale
1115,19890,2019-11-16,Cash Sale
1115,30000,2019-11-16,Cash Sale
2163,300,2019-12-06,Cash Sale
1928,243,2019-11-21,Cash Sale
1073,30,2019-11-25,Cash Sale
1073,1770,2019-11-25,Cash Sale
2244,1500,2019-12-06,Cash Sale
2255,150,2019-12-07,Cash Sale
2264,159,2019-12-07,Cash Sale
2261,6,2019-12-07,Cash Sale
2261,3,2019-12-07,Cash Sale
1540,10029,2019-11-18,Cash Sale
1701,1500,2019-11-19,Cash Sale
1198,900,2019-11-12,Cash Sale
1295,90,2019-11-13,Cash Sale
1295,42,2019-11-13,Cash Sale
1571,240,2019-11-18,Cash Sale
1571,600,2019-11-18,Cash Sale
1073,900,2019-11-20,Cash Sale
1073,150,2019-11-20,Cash Sale
1691,1500,2019-11-19,Cash Sale
1073,150,2019-11-20,Cash Sale
1073,90,2019-11-20,Cash Sale
1734,375,2019-11-19,Cash Sale
1073,30,2019-11-20,Cash Sale
1073,1860,2019-11-20,Cash Sale
1073,240,2019-11-20,Cash Sale
1073,15,2019-11-21,Cash Sale
1073,240,2019-11-19,Cash Sale
1571,570,2019-11-18,Cash Sale
1073,450,2019-11-19,Cash Sale
1755,450,2019-11-28,Cash Sale
2105,495,2019-12-02,Cash Sale
1918,13929,2019-11-21,Cash Sale
1073,18,2019-11-19,Cash Sale
1073,450,2019-11-19,Cash Sale
1544,30,2019-11-20,Cash Sale
1124,885,2019-11-26,Cash Sale
1073,780,2019-11-19,Cash Sale
1571,330,2019-11-18,Cash Sale
1073,60,2019-11-19,Cash Sale
1073,30,2019-11-19,Cash Sale
1386,59760,2019-11-21,Cash Sale
1571,105,2019-11-18,Cash Sale
1073,390,2019-11-19,Cash Sale
1571,690,2019-11-18,Cash Sale
1073,120,2019-11-19,Cash Sale
1571,840,2019-11-18,Cash Sale
1073,600,2019-11-23,Cash Sale
1073,45,2019-11-23,Cash Sale
1073,30,2019-11-23,Cash Sale
1073,15,2019-11-23,Cash Sale
1073,540,2019-11-19,Cash Sale
1073,450,2019-11-19,Cash Sale
1073,315,2019-11-23,Cash Sale
1740,60,2019-11-20,Cash Sale
1130,15000,2019-11-20,Cash Sale
1073,60,2019-11-23,Cash Sale
1073,120,2019-11-19,Cash Sale
1774,600,2019-11-21,Cash Sale
2022,2208,2019-11-28,Cash Sale
1740,150,2019-11-20,Cash Sale
1768,30,2019-10-14,Cash Sale
1740,60000,2019-11-20,Cash Sale
1073,18,2019-11-23,Cash Sale
2035,6738,2019-11-28,Cash Sale
1695,25875,2019-12-01,Cash Sale
1073,45,2019-11-19,Cash Sale
1073,15,2019-11-19,Cash Sale
1073,300,2019-11-19,Cash Sale
1073,360,2019-11-19,Cash Sale
1073,1305,2019-11-19,Cash Sale
1073,1425,2019-12-02,Cash Sale
2105,1320,2019-12-02,Cash Sale
1073,60,2019-11-19,Cash Sale
1073,90,2019-11-19,Cash Sale
1073,1260,2019-11-19,Cash Sale
1073,300,2019-11-19,Cash Sale
2105,3975,2019-12-02,Cash Sale
1073,750,2019-11-20,Cash Sale
1571,390,2019-11-18,Cash Sale
1571,870,2019-11-18,Cash Sale
1571,840,2019-11-18,Cash Sale
1571,930,2019-11-18,Cash Sale
1571,405,2019-11-18,Cash Sale
1571,435,2019-11-18,Cash Sale
1571,555,2019-11-18,Cash Sale
1571,456,2019-11-18,Cash Sale
1571,492,2019-11-18,Cash Sale
1571,705,2019-11-18,Cash Sale
1073,660,2019-11-20,Cash Sale
2105,750,2019-12-02,Cash Sale
1073,90,2019-11-25,Cash Sale
1073,135,2019-11-25,Cash Sale
2105,2025,2019-12-02,Cash Sale
1429,4083,2019-12-02,Cash Sale
2105,555,2019-12-02,Cash Sale
1073,600,2019-11-27,Cash Sale
1073,1800,2019-11-27,Cash Sale
1073,30,2019-11-27,Cash Sale
1073,630,2019-11-27,Cash Sale
1073,330,2019-11-27,Cash Sale
1073,720,2019-11-27,Cash Sale
1073,525,2019-11-27,Cash Sale
1073,600,2019-11-27,Cash Sale
1073,150,2019-11-27,Cash Sale
1115,48600,2019-11-19,Cash Sale
1115,60000,2019-11-19,Cash Sale
1115,3060,2019-11-20,Cash Sale
1115,6120,2019-11-20,Cash Sale
1115,6120,2019-11-21,Cash Sale
1115,6720,2019-11-21,Cash Sale
1115,3060,2019-11-21,Cash Sale
1115,3060,2019-11-21,Cash Sale
2163,300,2019-12-07,Cash Sale
1115,3060,2019-11-21,Cash Sale
1115,1215,2019-11-21,Cash Sale
1115,15000,2019-11-21,Cash Sale
1115,15000,2019-11-21,Cash Sale
1115,6120,2019-11-21,Cash Sale
1115,12240,2019-11-21,Cash Sale
1115,3060,2019-11-21,Cash Sale
1073,60,2019-11-24,Cash Sale
1309,660,2019-11-13,Cash Sale
2045,1320,2019-11-28,Cash Sale
1801,1500,2019-11-20,Cash Sale
1309,1770,2019-11-13,Cash Sale
1073,750,2019-11-22,Cash Sale
1073,960,2019-11-22,Cash Sale
1309,258,2019-11-13,Cash Sale
1073,60,2019-11-24,Cash Sale
1073,6,2019-11-24,Cash Sale
1073,114,2019-11-24,Cash Sale
1073,45,2019-11-24,Cash Sale
1073,15,2019-11-24,Cash Sale
1073,150,2019-11-24,Cash Sale
1952,750,2019-11-24,Cash Sale
1073,15,2019-11-24,Cash Sale
1073,75,2019-11-24,Cash Sale
1073,45,2019-11-24,Cash Sale
1073,45,2019-11-24,Cash Sale
1073,60,2019-11-24,Cash Sale
1115,30000,2019-11-22,Cash Sale
1115,1680,2019-11-23,Cash Sale
1073,30,2019-11-24,Cash Sale
1073,180,2019-11-24,Cash Sale
1073,405,2019-11-24,Cash Sale
2038,1029,2019-11-28,Cash Sale
1115,15300,2019-11-22,Cash Sale
1974,135,2019-11-24,Cash Sale
1922,150,2019-12-06,Cash Sale
2034,150,2019-11-28,Cash Sale
1073,225,2019-12-02,Cash Sale
1073,705,2019-12-02,Cash Sale
1073,93,2019-12-02,Cash Sale
1073,60,2019-12-02,Cash Sale
1073,90,2019-11-25,Cash Sale
1073,90,2019-11-25,Cash Sale
1073,330,2019-11-25,Cash Sale
1073,6,2019-11-25,Cash Sale
1073,330,2019-11-25,Cash Sale
1073,780,2019-11-25,Cash Sale
1073,30,2019-11-25,Cash Sale
2046,15000,2019-11-28,Cash Sale
2044,1590,2019-11-28,Cash Sale
2034,1500,2019-11-28,Cash Sale
1071,19008,2019-11-22,Cash Sale
1071,9000,2019-11-22,Cash Sale
1940,102,2019-11-22,Cash Sale
1073,270,2019-12-02,Cash Sale
1073,30,2019-12-02,Cash Sale
1988,18000,2019-11-25,Cash Sale
1640,150,2019-11-19,Cash Sale
1309,840,2019-11-13,Cash Sale
2243,1500,2019-12-06,Cash Sale
2243,13500,2019-12-06,Cash Sale
1073,180,2019-11-25,Cash Sale
1073,180,2019-11-25,Cash Sale
1073,75,2019-11-25,Cash Sale
1073,75,2019-11-25,Cash Sale
1073,810,2019-11-25,Cash Sale
1073,54,2019-11-25,Cash Sale
1073,600,2019-11-28,Cash Sale
1073,180,2019-11-28,Cash Sale
1073,15,2019-11-28,Cash Sale
1073,945,2019-11-28,Cash Sale
2243,42,2019-12-06,Cash Sale
1073,6,2019-11-26,Cash Sale
1073,30,2019-11-26,Cash Sale
1073,60,2019-11-26,Cash Sale
1073,48,2019-11-26,Cash Sale
1073,210,2019-11-26,Cash Sale
1073,6,2019-11-26,Cash Sale
1073,30,2019-11-26,Cash Sale
2001,1350,2019-11-26,Cash Sale
1073,330,2019-11-26,Cash Sale
1073,1200,2019-11-26,Cash Sale
1073,36,2019-11-26,Cash Sale
1073,855,2019-11-26,Cash Sale
1073,15,2019-11-26,Cash Sale
1073,180,2019-11-26,Cash Sale
1073,30,2019-11-26,Cash Sale
1073,270,2019-11-26,Cash Sale
1073,30,2019-11-26,Cash Sale
1073,90,2019-11-26,Cash Sale
1073,45,2019-11-26,Cash Sale
1073,390,2019-11-26,Cash Sale
2089,180,2019-11-30,Cash Sale
2089,24,2019-11-30,Cash Sale
1073,90,2019-11-26,Cash Sale
1073,735,2019-11-26,Cash Sale
2042,900,2019-11-28,Cash Sale
2163,180,2019-12-06,Cash Sale
2093,90,2019-11-30,Cash Sale
1073,15,2019-11-26,Cash Sale
1073,15,2019-11-26,Cash Sale
1421,36516,2019-11-29,Cash Sale
1421,15417,2019-11-29,Cash Sale
2004,75,2019-11-26,Cash Sale
2091,3,2019-11-30,Cash Sale
1073,18,2019-11-26,Cash Sale
1073,630,2019-11-26,Cash Sale
2091,6,2019-11-30,Cash Sale
2035,330,2019-11-29,Cash Sale
1073,30,2019-11-26,Cash Sale
1073,90,2019-11-27,Cash Sale
1073,240,2019-11-26,Cash Sale
1073,30,2019-11-27,Cash Sale
1073,1320,2019-11-27,Cash Sale
1073,300,2019-11-27,Cash Sale
1073,1260,2019-11-27,Cash Sale
1073,450,2019-11-28,Cash Sale
1073,1080,2019-11-28,Cash Sale
1073,15,2019-11-28,Cash Sale
1073,150,2019-11-28,Cash Sale
1073,135,2019-11-28,Cash Sale
1073,210,2019-11-29,Cash Sale
1073,300,2019-11-29,Cash Sale
1073,150,2019-11-29,Cash Sale
1073,90,2019-11-29,Cash Sale
1073,15,2019-11-30,Cash Sale
1073,90,2019-11-30,Cash Sale
1073,765,2019-11-30,Cash Sale
2152,660,2019-12-04,Cash Sale
2152,3000,2019-12-04,Cash Sale
1115,9000,2019-12-04,Cash Sale
2147,150,2019-12-03,Cash Sale
2091,39,2019-11-30,Cash Sale
2091,42,2019-11-30,Cash Sale
2091,45,2019-11-30,Cash Sale
1073,810,2019-12-03,Cash Sale
2105,1950,2019-12-04,Cash Sale
2140,300,2019-12-03,Cash Sale
2163,750,2019-12-04,Cash Sale
2107,1200,2019-11-30,Cash Sale
2107,2085,2019-11-30,Cash Sale
2107,3600,2019-11-30,Cash Sale
2091,48,2019-11-30,Cash Sale
2091,51,2019-11-30,Cash Sale
2091,54,2019-11-30,Cash Sale
2091,57,2019-11-30,Cash Sale
2091,60,2019-11-30,Cash Sale
2102,36,2019-11-30,Cash Sale
2091,63,2019-11-30,Cash Sale
2175,3036,2019-12-04,Cash Sale
2159,2100,2019-12-04,Cash Sale
2091,66,2019-11-30,Cash Sale
2103,615,2019-11-30,Cash Sale
2103,210,2019-11-30,Cash Sale
2091,69,2019-11-30,Cash Sale
2091,72,2019-11-30,Cash Sale
2093,300,2019-12-03,Cash Sale
2159,150,2019-12-04,Cash Sale
2108,18000,2019-11-30,Cash Sale
1683,1164,2019-12-04,Cash Sale
2000,300,2019-11-26,Cash Sale
2105,210,2019-12-04,Cash Sale
2091,75,2019-11-30,Cash Sale
2091,78,2019-11-30,Cash Sale
2091,42,2019-11-30,Cash Sale
2091,3,2019-11-30,Cash Sale
